#Optimization obtained via Optimization of the largest Eigenvalue
#
#Identifier DeltaT PurityOpt PurityStand MutInfOpt MutInfStand Purity1 Purity2 Purity3
#
115 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
116 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
117 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
118 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
119 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
120 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
121 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
122 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
123 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
124 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
125 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
126 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
127 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
128 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
129 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
130 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
131 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
132 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
133 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
134 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
135 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
136 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
137 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
138 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
139 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
140 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
141 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
142 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
