#Optimization obtained via Optimization of the distance to the set of unitaries
#
#Identifier DeltaT PurityOpt PurityStand MutInfOpt MutInfStand Purity1 Purity2 Purity3
#
106 0.001122 0.994635 0.994633 1.366170 1.365818 1.000000 1.000000 1.000000
107 0.001122 0.994635 0.994633 1.366169 1.365816 1.000000 1.000000 1.000000
108 0.001122 0.994634 0.994633 1.366166 1.365815 1.000000 1.000000 1.000000
109 0.001122 0.994635 0.994632 1.366170 1.365815 1.000000 1.000000 1.000000
110 0.001122 0.994635 0.994633 1.366171 1.365817 1.000000 1.000000 1.000000
111 0.001122 0.994635 0.994633 1.366172 1.365818 1.000000 1.000000 1.000000
112 0.001122 0.994635 0.994631 1.366173 1.365812 1.000000 1.000000 1.000000
113 0.001122 0.994636 0.994634 1.366174 1.365819 1.000000 1.000000 1.000000
114 0.001122 0.994635 0.994633 1.366172 1.365816 1.000000 1.000000 1.000000
115 0.001122 0.994636 0.994634 1.366174 1.365819 1.000000 1.000000 1.000000
116 0.001122 0.994635 0.994632 1.366173 1.365815 1.000000 1.000000 1.000000
117 0.001122 0.994635 0.994632 1.366170 1.365813 1.000000 1.000000 1.000000
118 0.001122 0.994635 0.994632 1.366173 1.365815 1.000000 1.000000 1.000000
119 0.001122 0.994635 0.994633 1.366173 1.365816 1.000000 1.000000 1.000000
120 0.001122 0.994635 0.994633 1.366172 1.365817 1.000000 1.000000 1.000000
121 0.001167 0.994425 0.994423 1.365491 1.365121 1.000000 1.000000 1.000000
122 0.001167 0.994426 0.994424 1.365492 1.365123 1.000000 1.000000 1.000000
123 0.001167 0.994425 0.994423 1.365491 1.365122 1.000000 1.000000 1.000000
124 0.001167 0.994426 0.994422 1.365493 1.365119 1.000000 1.000000 1.000000
125 0.001167 0.994424 0.994422 1.365483 1.365119 1.000000 1.000000 1.000000
126 0.001167 0.994425 0.994423 1.365488 1.365121 1.000000 1.000000 1.000000
127 0.001167 0.994425 0.994422 1.365488 1.365118 1.000000 1.000000 1.000000
128 0.001167 0.994424 0.994423 1.365482 1.365121 1.000000 1.000000 1.000000
129 0.001167 0.994426 0.994424 1.365491 1.365123 1.000000 1.000000 1.000000
