#Optimization obtained via Optimization of the purity of the resulting channel
#
#Identifier DeltaT PurityOpt PurityStand PurityBase MutInfOpt MutInfStand MutInfBase 
#
104 0.015923 0.999984 0.999999 0.988112 1.386194 1.386290 1.349712 

109 0.015923 0.999962 1.000000 0.988049 1.386068 1.386293 1.349518 

118 0.015923 0.999953 1.000000 0.984689 1.386018 1.386294 1.340965 

110 0.015923 0.999985 1.000000 0.993046 1.386198 1.386294 1.363052 

115 0.015923 0.999991 1.000000 0.993536 1.386236 1.386294 1.364472 

103 0.015923 0.999908 1.000000 0.990610 1.385789 1.386294 1.356297 

106 0.015923 0.999967 1.000000 0.986561 1.386094 1.386294 1.345706 

112 0.015923 0.999993 1.000000 0.997109 1.386245 1.386293 1.375384 

107 0.015923 0.999983 1.000000 0.986930 1.386188 1.386293 1.346670 

108 0.015923 0.999978 1.000000 0.989506 1.386158 1.386293 1.353362 

111 0.015923 0.999976 1.000000 0.988669 1.386148 1.386293 1.351118 

116 0.015923 0.999993 1.000000 0.990342 1.386249 1.386293 1.355585 

117 0.015923 0.999980 1.000000 0.992483 1.386166 1.386294 1.361465 

119 0.015923 0.999908 1.000000 0.991218 1.385788 1.386294 1.357958 

120 0.015923 0.999987 1.000000 0.984013 1.386209 1.386293 1.339292 

130 0.017475 0.999982 1.000000 0.991091 1.386182 1.386294 1.357602 

126 0.017475 0.999963 1.000000 0.985894 1.386072 1.386292 1.344028 

124 0.017475 0.999961 1.000000 0.986235 1.386065 1.386292 1.344927 

131 0.017475 0.999937 1.000000 0.990021 1.385934 1.386292 1.354695 

128 0.017475 0.999987 0.999999 0.986832 1.386211 1.386290 1.346409 

133 0.017475 0.999989 1.000000 0.995934 1.386221 1.386293 1.371637 

125 0.017475 0.999852 1.000000 0.987999 1.385518 1.386294 1.349390 

129 0.017475 0.999964 1.000000 0.987765 1.386080 1.386293 1.348820 

135 0.017475 0.999990 1.000000 0.987030 1.386230 1.386294 1.346940 

123 0.017475 0.999991 1.000000 0.989473 1.386231 1.386293 1.353258 

132 0.017475 0.999968 1.000000 0.992101 1.386102 1.386294 1.360402 

137 0.017475 0.999985 1.000000 0.989432 1.386197 1.386294 1.353161 

136 0.017475 0.999975 0.999999 0.992557 1.386141 1.386288 1.361681 

122 0.017475 0.999989 1.000000 0.992896 1.386224 1.386294 1.362640 

134 0.017475 0.999927 1.000000 0.979060 1.385884 1.386293 1.327427 

138 0.017475 0.999966 1.000000 0.985656 1.386088 1.386292 1.343471 

121 0.017475 0.999970 1.000000 0.983537 1.386113 1.386293 1.338233 

127 0.017475 0.999939 0.999999 0.984046 1.385946 1.386289 1.339459 

140 0.017475 0.999984 1.000000 0.987907 1.386192 1.386293 1.349169 

139 0.017475 0.999969 1.000000 0.991065 1.386107 1.386294 1.357548 

