#Optimization obtained via Optimization of the distance to the set of unitaries
#
#Identifier DeltaT PurityOpt PurityStand PurityBase MutInfOpt MutInfStand MutInfBase 
#
123 0.017475 1.000000 1.000000 0.989473 1.386293 1.386293 1.353258 

132 0.017475 1.000000 1.000000 0.992101 1.386294 1.386294 1.360402 

137 0.017475 1.000000 1.000000 0.989432 1.386293 1.386294 1.353161 

136 0.017475 1.000000 0.999999 0.992557 1.386293 1.386288 1.361681 

122 0.017475 1.000000 1.000000 0.992896 1.386294 1.386294 1.362640 

134 0.017475 1.000000 1.000000 0.979060 1.386293 1.386293 1.327427 

138 0.017475 1.000000 1.000000 0.985656 1.386293 1.386292 1.343471 

121 0.017475 1.000000 1.000000 0.983537 1.386293 1.386293 1.338233 

127 0.017475 1.000000 0.999999 0.984046 1.386293 1.386289 1.339459 

140 0.017475 1.000000 1.000000 0.987907 1.386294 1.386293 1.349169 

139 0.017475 1.000000 1.000000 0.991065 1.386294 1.386294 1.357548 

145 0.019179 1.000000 1.000000 0.986398 1.386293 1.386294 1.345301 

156 0.019179 1.000000 1.000000 0.990032 1.386294 1.386290 1.354748 

142 0.019179 1.000000 1.000000 0.991068 1.386293 1.386294 1.357553 

151 0.019179 1.000000 0.999999 0.991207 1.386293 1.386289 1.357936 

149 0.019179 1.000000 1.000000 0.983627 1.386293 1.386294 1.338437 

148 0.019179 1.000000 0.999999 0.983823 1.386292 1.386289 1.338908 

158 0.019179 1.000000 0.999999 0.981063 1.386293 1.386290 1.332249 

143 0.019179 1.000000 1.000000 0.985159 1.386293 1.386293 1.342169 

153 0.019179 1.000000 1.000000 0.994819 1.386294 1.386294 1.368238 

144 0.019179 1.000000 0.999999 0.982258 1.386294 1.386285 1.335154 

141 0.019179 1.000000 1.000000 0.981135 1.386293 1.386293 1.332450 

157 0.019179 1.000000 1.000000 0.987199 1.386293 1.386294 1.347353 

152 0.019179 1.000000 1.000000 0.990234 1.386294 1.386292 1.355297 

147 0.019179 1.000000 0.999999 0.984443 1.386291 1.386285 1.340462 

155 0.019179 1.000000 1.000000 0.984763 1.386294 1.386293 1.341255 

150 0.019179 1.000000 1.000000 0.987393 1.386294 1.386294 1.347801 

146 0.019179 1.000000 1.000000 0.984787 1.386294 1.386291 1.341236 

154 0.019179 1.000000 1.000000 0.974718 1.386293 1.386293 1.317553 

160 0.019179 1.000000 1.000000 0.985833 1.386294 1.386294 1.343890 

159 0.019179 1.000000 1.000000 0.989961 1.386294 1.386294 1.354577 

165 0.021049 1.000000 1.000000 0.989214 1.386293 1.386293 1.352557 

171 0.021049 1.000000 0.999999 0.990161 1.386292 1.386287 1.355096 

169 0.021049 1.000000 1.000000 0.984222 1.386293 1.386293 1.339895 

166 0.021049 1.000000 0.999999 0.991095 1.386294 1.386290 1.357597 

172 0.021049 1.000000 1.000000 0.989109 1.386293 1.386291 1.352307 

174 0.021049 1.000000 1.000000 0.976799 1.386292 1.386291 1.322362 

164 0.021049 1.000000 0.999998 0.978608 1.386294 1.386283 1.326567 

161 0.021049 1.000000 1.000000 0.976592 1.386292 1.386292 1.321916 

173 0.021049 1.000000 1.000000 0.994592 1.386294 1.386294 1.367561 

